year,seed,variable_resource_cost_gbp,demand_mwh,unserved_mwh,scarcity_hours,emissions_t,renewable_curtailment_mwh,balance_max_mw,storage_residual_max_mwh,mean_price_gbp_per_mwh,consumer_energy_payment_gbp,fixed_cost_gbp,capacity_payment_gbp,solve_seconds,capacity_gas_mw,capacity_peaker_mw,capacity_wind_mw,capacity_solar_mw,design
2027,108,26448155348.91569,224475000.0,2230855.97340292,1564.2857142857142,56369462.36063866,0.0,3.637978807091713e-12,2.2737367544323206e-13,1301.4285714285716,308276337204.3718,1084000000.0,0.0,0.16562069999054074,17000.0,4600.0,12000.0,11000.0,energy_only
2028,108,12807225955.337568,230086874.99999997,49522.45559870923,104.28571428571429,54263898.79676504,0.0,3.637978807091713e-12,2.2737367544323206e-13,178.80952380952385,42406850488.86029,1229250000.0,0.0,0.1664448999799788,18250.0,6200.0,13750.0,13000.0,energy_only
2029,108,13341493188.522955,235839046.87499994,138722.95413722759,208.57142857142858,53352281.07633323,0.0,3.637978807091713e-12,2.2737367544323206e-13,254.28571428571436,61304257962.658455,1299500000.0,0.0,0.16740549996029586,16500.0,7800.0,15500.0,15000.0,energy_only
2030,108,11704419137.054274,241735023.04687494,0.0,0.0,50312022.91963837,0.0,3.637978807091713e-12,2.2737367544323206e-13,109.99999999999994,26954545308.543793,1444750000.0,0.0,0.1711226999759674,17750.0,9400.0,17250.0,17000.0,energy_only
2031,108,10982104448.58725,247778398.62304682,0.0,0.0,47496399.81815246,0.0,3.637978807091713e-12,2.2737367544323206e-13,103.39732555071885,26001445874.647102,1590000000.0,0.0,0.16815439995843917,19000.0,11000.0,19000.0,19000.0,energy_only
2026,108,38359286007.12114,219000000.00000003,4307382.136466298,2294.285714285715,54489275.12116338,0.0,3.637978807091713e-12,2.2737367544323206e-13,1788.0952380952378,404198493793.14526,1040000000.0,1539000000.0,0.1855983000714332,17000.0,3000.0,12000.0,9000.0,stylised_capacity_payment
2027,108,26448155348.91569,224475000.0,2230855.97340292,1564.2857142857142,56369462.36063866,0.0,3.637978807091713e-12,2.2737367544323206e-13,1301.4285714285716,308276337204.3718,1084000000.0,1659000000.0,0.16975989995989949,17000.0,4600.0,12000.0,11000.0,stylised_capacity_payment
2028,108,12807225955.337568,230086874.99999997,49522.45559870923,104.28571428571429,54263898.79676504,0.0,3.637978807091713e-12,2.2737367544323206e-13,178.80952380952385,42406850488.86029,1229250000.0,1883062500.0,0.15838289994280785,18250.0,6200.0,13750.0,13000.0,stylised_capacity_payment
2029,108,13341493188.522955,235839046.87499994,138722.95413722759,208.57142857142858,53352281.07633323,0.0,3.637978807091713e-12,2.2737367544323206e-13,254.28571428571436,61304257962.658455,1299500000.0,1904625000.0,0.16933330008760095,16500.0,7800.0,15500.0,15000.0,stylised_capacity_payment
2030,108,11704419137.054274,241735023.04687494,0.0,0.0,50312022.91963837,0.0,3.637978807091713e-12,2.2737367544323206e-13,109.99999999999994,26954545308.543793,1444750000.0,2128687500.0,0.1670280999969691,17750.0,9400.0,17250.0,17000.0,stylised_capacity_payment
2031,108,10982104448.58725,247778398.62304682,0.0,0.0,47496399.81815246,0.0,3.637978807091713e-12,2.2737367544323206e-13,103.39732555071885,26001445874.647102,1590000000.0,2352750000.0,0.16490350000094622,19000.0,11000.0,19000.0,19000.0,stylised_capacity_payment
2026,109,38359286007.12114,219000000.00000003,4307382.136466298,2294.285714285715,54489275.12116338,0.0,3.637978807091713e-12,2.2737367544323206e-13,1788.0952380952378,404198493793.14526,1040000000.0,0.0,0.1669457999523729,17000.0,3000.0,12000.0,9000.0,energy_only
2027,109,26448155348.91569,224475000.0,2230855.97340292,1564.2857142857142,56369462.36063866,0.0,3.637978807091713e-12,2.2737367544323206e-13,1301.4285714285716,308276337204.3718,1084000000.0,0.0,0.1600012999260798,17000.0,4600.0,12000.0,11000.0,energy_only
2028,109,12807225955.337568,230086874.99999997,49522.45559870923,104.28571428571429,54263898.79676504,0.0,3.637978807091713e-12,2.2737367544323206e-13,178.80952380952385,42406850488.86029,1229250000.0,0.0,0.2531066000228748,18250.0,6200.0,13750.0,13000.0,energy_only
2029,109,13341493188.522955,235839046.87499994,138722.95413722759,208.57142857142858,53352281.07633323,0.0,3.637978807091713e-12,2.2737367544323206e-13,254.28571428571436,61304257962.658455,1299500000.0,0.0,0.17133280006237328,16500.0,7800.0,15500.0,15000.0,energy_only
2030,109,11704419137.054274,241735023.04687494,0.0,0.0,50312022.91963837,0.0,3.637978807091713e-12,2.2737367544323206e-13,109.99999999999994,26954545308.543793,1444750000.0,0.0,0.1742472000187263,17750.0,9400.0,17250.0,17000.0,energy_only
2031,109,10982104448.58725,247778398.62304682,0.0,0.0,47496399.81815246,0.0,3.637978807091713e-12,2.2737367544323206e-13,103.39732555071885,26001445874.647102,1590000000.0,0.0,0.17323850002139807,19000.0,11000.0,19000.0,19000.0,energy_only
2026,109,38359286007.12114,219000000.00000003,4307382.136466298,2294.285714285715,54489275.12116338,0.0,3.637978807091713e-12,2.2737367544323206e-13,1788.0952380952378,404198493793.14526,1040000000.0,1539000000.0,0.28058359993156046,17000.0,3000.0,12000.0,9000.0,stylised_capacity_payment
2027,109,26448155348.91569,224475000.0,2230855.97340292,1564.2857142857142,56369462.36063866,0.0,3.637978807091713e-12,2.2737367544323206e-13,1301.4285714285716,308276337204.3718,1084000000.0,1659000000.0,0.16204490000382066,17000.0,4600.0,12000.0,11000.0,stylised_capacity_payment
2028,109,12807225955.337568,230086874.99999997,49522.45559870923,104.28571428571429,54263898.79676504,0.0,3.637978807091713e-12,2.2737367544323206e-13,178.80952380952385,42406850488.86029,1229250000.0,1883062500.0,0.15967039996758103,18250.0,6200.0,13750.0,13000.0,stylised_capacity_payment
2029,109,13341493188.522955,235839046.87499994,138722.95413722759,208.57142857142858,53352281.07633323,0.0,3.637978807091713e-12,2.2737367544323206e-13,254.28571428571436,61304257962.658455,1299500000.0,1904625000.0,0.15932510001584888,16500.0,7800.0,15500.0,15000.0,stylised_capacity_payment
2030,109,11704419137.054274,241735023.04687494,0.0,0.0,50312022.91963837,0.0,3.637978807091713e-12,2.2737367544323206e-13,109.99999999999994,26954545308.543793,1444750000.0,2128687500.0,0.15428100002463907,17750.0,9400.0,17250.0,17000.0,stylised_capacity_payment
2031,109,10982104448.58725,247778398.62304682,0.0,0.0,47496399.81815246,0.0,3.637978807091713e-12,2.2737367544323206e-13,103.39732555071885,26001445874.647102,1590000000.0,2352750000.0,0.15512070001568645,19000.0,11000.0,19000.0,19000.0,stylised_capacity_payment
2026,110,38359286007.12114,219000000.00000003,4307382.136466298,2294.285714285715,54489275.12116338,0.0,3.637978807091713e-12,2.2737367544323206e-13,1788.0952380952378,404198493793.14526,1040000000.0,0.0,0.16420040000230074,17000.0,3000.0,12000.0,9000.0,energy_only
2027,110,26448155348.91569,224475000.0,2230855.97340292,1564.2857142857142,56369462.36063866,0.0,3.637978807091713e-12,2.2737367544323206e-13,1301.4285714285716,308276337204.3718,1084000000.0,0.0,0.1640940000070259,17000.0,4600.0,12000.0,11000.0,energy_only
2028,110,12807225955.337568,230086874.99999997,49522.45559870923,104.28571428571429,54263898.79676504,0.0,3.637978807091713e-12,2.2737367544323206e-13,178.80952380952385,42406850488.86029,1229250000.0,0.0,0.15797940001357347,18250.0,6200.0,13750.0,13000.0,energy_only
2029,110,13341493188.522955,235839046.87499994,138722.95413722759,208.57142857142858,53352281.07633323,0.0,3.637978807091713e-12,2.2737367544323206e-13,254.28571428571436,61304257962.658455,1299500000.0,0.0,0.182082699961029,16500.0,7800.0,15500.0,15000.0,energy_only
2030,110,11704419137.054274,241735023.04687494,0.0,0.0,50312022.91963837,0.0,3.637978807091713e-12,2.2737367544323206e-13,109.99999999999994,26954545308.543793,1444750000.0,0.0,0.20213540003169328,17750.0,9400.0,17250.0,17000.0,energy_only
2031,110,10982104448.58725,247778398.62304682,0.0,0.0,47496399.81815246,0.0,3.637978807091713e-12,2.2737367544323206e-13,103.39732555071885,26001445874.647102,1590000000.0,0.0,0.17186330002732575,19000.0,11000.0,19000.0,19000.0,energy_only
2026,110,38359286007.12114,219000000.00000003,4307382.136466298,2294.285714285715,54489275.12116338,0.0,3.637978807091713e-12,2.2737367544323206e-13,1788.0952380952378,404198493793.14526,1040000000.0,1539000000.0,0.18385949998628348,17000.0,3000.0,12000.0,9000.0,stylised_capacity_payment
2027,110,26448155348.91569,224475000.0,2230855.97340292,1564.2857142857142,56369462.36063866,0.0,3.637978807091713e-12,2.2737367544323206e-13,1301.4285714285716,308276337204.3718,1084000000.0,1659000000.0,0.19025099999271333,17000.0,4600.0,12000.0,11000.0,stylised_capacity_payment
2028,110,12807225955.337568,230086874.99999997,49522.45559870923,104.28571428571429,54263898.79676504,0.0,3.637978807091713e-12,2.2737367544323206e-13,178.80952380952385,42406850488.86029,1229250000.0,1883062500.0,0.19476500002201647,18250.0,6200.0,13750.0,13000.0,stylised_capacity_payment
2029,110,13341493188.522955,235839046.87499994,138722.95413722759,208.57142857142858,53352281.07633323,0.0,3.637978807091713e-12,2.2737367544323206e-13,254.28571428571436,61304257962.658455,1299500000.0,1904625000.0,0.2886559999315068,16500.0,7800.0,15500.0,15000.0,stylised_capacity_payment
2030,110,11704419137.054274,241735023.04687494,0.0,0.0,50312022.91963837,0.0,3.637978807091713e-12,2.2737367544323206e-13,109.99999999999994,26954545308.543793,1444750000.0,2128687500.0,0.19257820001803339,17750.0,9400.0,17250.0,17000.0,stylised_capacity_payment
2031,110,10982104448.58725,247778398.62304682,0.0,0.0,47496399.81815246,0.0,3.637978807091713e-12,2.2737367544323206e-13,103.39732555071885,26001445874.647102,1590000000.0,2352750000.0,0.17971339996438473,19000.0,11000.0,19000.0,19000.0,stylised_capacity_payment
2026,111,38359286007.12114,219000000.00000003,4307382.136466298,2294.285714285715,54489275.12116338,0.0,3.637978807091713e-12,2.2737367544323206e-13,1788.0952380952378,404198493793.14526,1040000000.0,0.0,0.20405489997938275,17000.0,3000.0,12000.0,9000.0,energy_only
2027,111,26448155348.91569,224475000.0,2230855.97340292,1564.2857142857142,56369462.36063866,0.0,3.637978807091713e-12,2.2737367544323206e-13,1301.4285714285716,308276337204.3718,1084000000.0,0.0,0.3123755999840796,17000.0,4600.0,12000.0,11000.0,energy_only
2028,111,12807225955.337568,230086874.99999997,49522.45559870923,104.28571428571429,54263898.79676504,0.0,3.637978807091713e-12,2.2737367544323206e-13,178.80952380952385,42406850488.86029,1229250000.0,0.0,0.1793941999785602,18250.0,6200.0,13750.0,13000.0,energy_only
2029,111,13341493188.522955,235839046.87499994,138722.95413722759,208.57142857142858,53352281.07633323,0.0,3.637978807091713e-12,2.2737367544323206e-13,254.28571428571436,61304257962.658455,1299500000.0,0.0,0.16122759995050728,16500.0,7800.0,15500.0,15000.0,energy_only
2030,111,11704419137.054274,241735023.04687494,0.0,0.0,50312022.91963837,0.0,3.637978807091713e-12,2.2737367544323206e-13,109.99999999999994,26954545308.543793,1444750000.0,0.0,0.19460769998840988,17750.0,9400.0,17250.0,17000.0,energy_only
2031,111,10982104448.58725,247778398.62304682,0.0,0.0,47496399.81815246,0.0,3.637978807091713e-12,2.2737367544323206e-13,103.39732555071885,26001445874.647102,1590000000.0,0.0,0.3162018000148237,19000.0,11000.0,19000.0,19000.0,energy_only
2026,111,38359286007.12114,219000000.00000003,4307382.136466298,2294.285714285715,54489275.12116338,0.0,3.637978807091713e-12,2.2737367544323206e-13,1788.0952380952378,404198493793.14526,1040000000.0,1539000000.0,0.19623160001356155,17000.0,3000.0,12000.0,9000.0,stylised_capacity_payment
2027,111,26448155348.91569,224475000.0,2230855.97340292,1564.2857142857142,56369462.36063866,0.0,3.637978807091713e-12,2.2737367544323206e-13,1301.4285714285716,308276337204.3718,1084000000.0,1659000000.0,0.1718664999352768,17000.0,4600.0,12000.0,11000.0,stylised_capacity_payment
2028,111,12807225955.337568,230086874.99999997,49522.45559870923,104.28571428571429,54263898.79676504,0.0,3.637978807091713e-12,2.2737367544323206e-13,178.80952380952385,42406850488.86029,1229250000.0,1883062500.0,0.16475230001378804,18250.0,6200.0,13750.0,13000.0,stylised_capacity_payment
